,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
59,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,,,,,,,,,1.0764721666447596e-07 meter ** 3 / mole,1.842497772737798e-08 meter ** 3 / mole
60,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,388.82964703730977 kilogram * meter ** 2 / mole / second ** 2,18.12544696395443 kilogram * meter ** 2 / mole / second ** 2,,,,
61,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,,,,,,,,,1.6112608004102073e-07 meter ** 3 / mole,1.600119396892719e-08 meter ** 3 / mole
62,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)CC1,1.0,,,0.9336361541018376 gram / milliliter,0.0002742820246349538 gram / milliliter,,,,,9.445370357490635 dimensionless,1.1337213561427826 dimensionless,,
63,298.15 kelvin,101.325 kilopascal,2,1,C1CCOC1,1.0,,,0.9130019258145848 gram / milliliter,0.00036120756244263446 gram / milliliter,,,,,,,,
64,298.15 kelvin,101.0 kilopascal,2,1,C1CCS(=O)(=O)C1,1.0,,,1.3269905955585575 gram / milliliter,0.0003721165769167235 gram / milliliter,,,,,5.277716958628041 dimensionless,0.6464370026583766 dimensionless,,
65,313.15 kelvin,101.0 kilopascal,2,2,C1COCCN1,0.2968,O,0.7032,,,,,-1707.7421842952608 kilogram * meter ** 2 / mole / second ** 2,17.72471390361681 kilogram * meter ** 2 / mole / second ** 2,,,,
66,298.15 kelvin,101.325 kilopascal,2,1,C1COCCN1,1.0,,,1.1033747932639861 gram / milliliter,0.0003956678669965269 gram / milliliter,,,,,,,,
67,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,0.881501723492874 gram / milliliter,0.00037635746921502986 gram / milliliter,,,,,,,,
68,298.15 kelvin,101.325 kilopascal,2,1,CC(=C)C(=O)OCCO,1.0,,,1.097807173772397 gram / milliliter,0.00038392031248669076 gram / milliliter,,,,,,,,
69,298.15 kelvin,101.325 kilopascal,6,1,CC(=CCOC(=O)C)C,1.0,,,,,59487.549262359535 kilogram * meter ** 2 / mole / second ** 2,302.49035384374514 kilogram * meter ** 2 / mole / second ** 2,,,,,,
70,303.15 kelvin,101.325 kilopascal,2,1,CC(=O)N(C)C,1.0,,,0.935389352129385 gram / milliliter,0.00019807843417973695 gram / milliliter,,,,,21.791713119634778 dimensionless,1.4524447237626832 dimensionless,,
71,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)OCCc1ccccc1,1.0,,,,,76150.19868168983 kilogram * meter ** 2 / mole / second ** 2,347.4964915508048 kilogram * meter ** 2 / mole / second ** 2,,,,,,
72,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,,,,,60.38632343516656 kilogram * meter ** 2 / mole / second ** 2,18.11919714772412 kilogram * meter ** 2 / mole / second ** 2,,,,
73,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,,,,,,,,,3.0749468041863946e-07 meter ** 3 / mole,1.7469036131522036e-08 meter ** 3 / mole
74,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,,,,,,,,,3.0543719848334e-07 meter ** 3 / mole,1.890666645261132e-08 meter ** 3 / mole
75,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,,,,,187.879425422223 kilogram * meter ** 2 / mole / second ** 2,18.37695894702944 kilogram * meter ** 2 / mole / second ** 2,,,,
76,298.15 kelvin,101.325 kilopascal,2,1,CC(=O)OC,1.0,,,0.9688925971651455 gram / milliliter,0.0003534020742060351 gram / milliliter,,,,,,,,
77,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1cccc(c1)OC,1.0,,,,,77426.5385960839 kilogram * meter ** 2 / mole / second ** 2,314.1476655683641 kilogram * meter ** 2 / mole / second ** 2,,,,,,
78,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccccc1OC,1.0,,,,,72525.39951433684 kilogram * meter ** 2 / mole / second ** 2,218.82235104350158 kilogram * meter ** 2 / mole / second ** 2,,,,,,
79,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccco1,1.0,,,,,53485.16324058768 kilogram * meter ** 2 / mole / second ** 2,176.34775150062708 kilogram * meter ** 2 / mole / second ** 2,,,,,,
80,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,,,,,885.6962489742873 kilogram * meter ** 2 / mole / second ** 2,18.830312826263057 kilogram * meter ** 2 / mole / second ** 2,,,2.942144840131723e-07 meter ** 3 / mole,1.3623229130018594e-08 meter ** 3 / mole
